* File di statistiche, vuoto e riempito dal programma successivamente. Prima riga con dati di default di prova.
Caffè Espresso	481	986	988.75	1000.0	Transazione avvenuta il:	22-04-2018 23:02:49
Caffè Espresso	480	985	988.0	1000.0	Transazione avvenuta il:	22-04-2018 23:02:50
Caffè Espresso	480	985	988.0	1000.0	Transazione fallita.	22-04-2018 23:02:50
Caffè Espresso	480	985	988.0	1000.0	Transazione fallita.	22-04-2018 23:02:54
Caffè Espresso	482	987	989.5	1000.0	Transazione avvenuta il:	22-04-2018 23:08:53
Caffè Espresso	481	986	988.75	1000.0	Transazione avvenuta il:	22-04-2018 23:09:53
Caffè Espresso	481	986	988.75	1000.0	Transazione avvenuta il:	22-04-2018 23:11:34
Caffè Espresso	480	985	988.0	1000.0	Transazione avvenuta il:	22-04-2018 23:12:01
Caffè Espresso	480	985	988.0	1000.0	Transazione avvenuta il:	22-04-2018 23:12:54
Caffè Espresso	479	985	988.0	1000.0	Transazione avvenuta il:	22-04-2018 23:21:35
Tè al Limone	478	985	988.0	1000.0	Transazione avvenuta il:	22-04-2018 23:45:16
Ginseng	477	985	988.0	1000.0	Transazione avvenuta il:	23-04-2018 18:40:33
Ginseng	476	985	988.0	1000.0	Transazione avvenuta il:	23-04-2018 18:43:34
Ginseng	475	985	988.0	1000.0	Transazione avvenuta il:	23-04-2018 18:47:00
Ginseng	474	985	988.0	1000.0	Transazione avvenuta il:	23-04-2018 18:47:43
Ginseng	473	985	988.0	1000.0	Transazione avvenuta il:	23-04-2018 18:49:22
Ginseng	472	985	988.0	1000.0	Transazione avvenuta il:	23-04-2018 18:52:05
Cappuccino	472	985	988.0	1000.0	Transazione fallita.	24-04-2018 09:37:35
Cappuccino	472	985	988.0	1000.0	Transazione fallita.	24-04-2018 09:37:35
Caffè Espresso	472	985	988.0	1000.0	Transazione fallita.	24-04-2018 09:37:36
Caffè Espresso	472	985	988.0	1000.0	Transazione fallita.	24-04-2018 09:37:36
Latte Caldo	472	985	988.0	1000.0	Transazione fallita.	24-04-2018 09:37:37
Latte Caldo	472	985	988.0	1000.0	Transazione fallita.	24-04-2018 09:37:37
Caffè Lungo	472	985	988.0	1000.0	Transazione fallita.	24-04-2018 09:37:38
Caffè Lungo	472	985	988.0	1000.0	Transazione fallita.	24-04-2018 09:37:38
Cioccolata	472	985	988.0	1000.0	Transazione fallita.	24-04-2018 09:37:39
Cioccolata	472	985	988.0	1000.0	Transazione fallita.	24-04-2018 09:37:39
Tè al Limone	472	985	988.0	1000.0	Transazione fallita.	24-04-2018 09:37:40
Tè al Limone	472	985	988.0	1000.0	Transazione fallita.	24-04-2018 09:37:40
Latte Caldo	472	985	988.0	1000.0	Transazione fallita.	24-04-2018 09:38:36
Latte Caldo	472	985	988.0	1000.0	Transazione fallita.	24-04-2018 09:38:36
Caffè Espresso	472	985	988.0	1000.0	Transazione fallita.	24-04-2018 09:38:38
Caffè Espresso	472	985	988.0	1000.0	Transazione fallita.	24-04-2018 09:38:38
Tè al Limone	471	985	988.0	1000.0	Transazione avvenuta il:	24-04-2018 11:55:17
Tè al Limone	470	984	987.25	1000.0	Transazione avvenuta il:	24-04-2018 11:57:07
Caffè Miscela Top	471	984	987.25	1000.0	Transazione fallita.	24-04-2018 14:25:59
Tè al Limone	471	984	987.25	1000.0	Transazione fallita.	24-04-2018 14:26:06
Caffè Espresso	471	984	987.25	1000.0	Transazione fallita.	24-04-2018 14:26:07
Cappuccino	471	984	987.25	1000.0	Transazione fallita.	24-04-2018 14:26:08
Caffè Miscela Top	471	984	987.25	1000.0	Transazione fallita.	24-04-2018 14:26:09
Caffè Lungo	471	984	987.25	1000.0	Transazione fallita.	24-04-2018 14:42:30
Cappuccino	471	984	987.25	1000.0	Transazione fallita.	24-04-2018 14:42:32
Caffè Espresso	471	984	987.25	1000.0	Transazione fallita.	24-04-2018 14:42:34
Latte Caldo	471	984	987.25	1000.0	Transazione fallita.	24-04-2018 14:42:35
Ginseng	471	984	987.25	1000.0	Transazione fallita.	24-04-2018 14:52:51
Caffè Lungo	471	984	987.25	1000.0	Transazione fallita.	24-04-2018 15:07:04
Cioccolata	471	984	987.25	1000.0	Transazione fallita.	24-04-2018 15:36:32
Cioccolata	470	983	986.75	1000.0	Transazione avvenuta il:	24-04-2018 15:36:50
Cioccolata	469	983	986.75	1000.0	Transazione avvenuta il:	24-04-2018 15:56:21
Cioccolata	469	983	986.75	1000.0	Transazione fallita.	24-04-2018 15:57:17
Ginseng	468	983	986.75	999.66	Transazione avvenuta il:	24-04-2018 15:57:40
Ginseng	468	983	986.75	999.66	Transazione fallita.	24-04-2018 16:13:37
Cappuccino	468	983	986.75	999.66	Transazione fallita.	24-04-2018 16:13:39
Caffè Lungo	468	983	986.75	999.66	Transazione fallita.	24-04-2018 16:13:40
Caffè Miscela Top	468	983	986.75	999.66	Transazione fallita.	24-04-2018 16:13:48
Cappuccino	468	983	986.75	999.66	Transazione fallita.	24-04-2018 16:13:49
Caffè Espresso	468	983	986.75	999.66	Transazione fallita.	24-04-2018 16:13:50
Caffè Lungo	468	983	986.75	999.66	Transazione fallita.	24-04-2018 16:13:51
