*tagli 0.05 0.10 0.20 0.50 1.00 2.00
22	30	3	30	28	11		17-04-2018 18:30:36
22	30	3	31	28	11		17-04-2018 18:31:18
22	30	3	32	28	11		17-04-2018 18:31:45
22	30	3	33	28	11		17-04-2018 18:33:35
22	30	3	33	28	11		17-04-2018 19:01:27
22	30	3	33	28	11		17-04-2018 19:09:56
22	30	3	33	28	11		17-04-2018 19:10:25
22	30	3	34	28	11		18-04-2018 15:11:22
22	30	3	35	28	11		18-04-2018 15:14:06
22	30	3	36	28	11		18-04-2018 15:18:14
22	30	3	37	28	11		18-04-2018 15:20:17
22	30	3	38	28	11		18-04-2018 15:22:45
22	30	3	39	28	11		18-04-2018 15:23:38
22	30	3	40	28	11		18-04-2018 15:24:11
22	30	3	41	28	11		18-04-2018 15:28:13
23	30	5	41	28	11		18-04-2018 15:31:28
23	30	5	42	28	11		18-04-2018 15:38:09
24	30	7	42	28	11		18-04-2018 15:38:42
24	30	7	42	29	11		18-04-2018 16:10:47
24	29	6	42	29	11		18-04-2018 16:10:47
24	29	6	42	29	12		18-04-2018 16:11:57
23	28	5	42	28	12		18-04-2018 16:11:57
23	31	5	42	29	12		18-04-2018 17:27:54
23	30	5	41	29	12		18-04-2018 17:27:54
23	30	5	41	29	13		18-04-2018 17:29:53
22	30	4	41	28	13		18-04-2018 17:29:53
22	31	4	41	28	13		18-04-2018 17:32:34
23	31	5	41	28	13		18-04-2018 17:33:14
23	31	5	41	28	14		18-04-2018 17:37:18
23	31	5	40	27	14		18-04-2018 17:37:18
23	31	5	41	28	14		18-04-2018 17:38:38
23	31	5	41	27	14		18-04-2018 17:38:38
23	31	5	43	27	14		18-04-2018 17:39:11
23	31	5	42	27	14		18-04-2018 17:39:11
*23	31	6	43	27	14		18-04-2018 22:15:26
23	31	5	42	27	14		19-04-2018 10:55:52
23	31	5	42	27	14		19-04-2018 10:59:59
23	31	5	42	28	14		19-04-2018 11:00:31
23	31	5	41	28	14		19-04-2018 11:00:31
23	31	5	41	29	14		19-04-2018 11:03:13
22	31	5	40	29	14		19-04-2018 11:03:13
22	31	5	40	29	15		19-04-2018 11:25:43
22	31	5	39	28	15		19-04-2018 11:25:43
22	31	5	39	28	16		19-04-2018 11:28:40
22	31	5	38	27	16		19-04-2018 11:28:40
22	31	5	38	28	16		19-04-2018 11:30:29
22	30	4	38	28	16		19-04-2018 11:30:29
22	30	4	38	28	16		19-04-2018 11:32:29
22	30	4	40	28	16		19-04-2018 11:42:28
22	30	4	39	28	16		19-04-2018 11:42:28
22	30	4	39	29	16		19-04-2018 15:45:42
22	29	3	39	29	16		19-04-2018 15:49:22
22	29	3	41	29	16		19-04-2018 17:16:38
22	29	3	40	29	16		19-04-2018 17:16:38
22	29	3	42	29	16		19-04-2018 17:36:31
22	28	2	42	29	16		19-04-2018 17:36:31
22	28	2	44	29	16		19-04-2018 18:39:57
21	28	2	43	29	16		19-04-2018 18:39:57
21	28	2	44	29	16		20-04-2018 11:48:46
23	28	3	45	31	16		20-04-2018 11:49:18
25	28	5	46	32	16		20-04-2018 11:50:38
25	28	5	45	31	16		20-04-2018 11:50:38
25	28	5	45	32	16		20-04-2018 18:27:07
25	28	5	44	32	16		20-04-2018 18:27:07
25	28	5	44	33	16		20-04-2018 18:27:49
25	28	5	43	33	16		20-04-2018 18:27:49
25	28	5	43	34	16		20-04-2018 18:28:32
25	28	5	42	34	16		20-04-2018 18:28:32
25	28	9	42	34	16		21-04-2018 00:02:21
25	27	9	42	34	16		21-04-2018 00:02:21
25	27	9	42	34	16		21-04-2018 00:09:15
25	27	10	42	34	16		21-04-2018 00:09:40
24	26	10	42	34	16		21-04-2018 00:09:40
24	26	10	42	35	16		21-04-2018 00:09:58
24	26	8	41	35	16		21-04-2018 00:09:58
24	26	8	41	36	16		21-04-2018 00:14:11
24	25	7	41	36	16		21-04-2018 00:14:11
24	27	7	42	36	16		21-04-2018 00:14:35
24	27	7	43	36	17		21-04-2018 00:15:30
24	27	7	43	36	16		21-04-2018 00:15:30
24	27	7	44	37	16		21-04-2018 00:16:15
24	27	7	44	36	16		21-04-2018 00:16:15
24	27	7	46	36	16		21-04-2018 00:16:38
24	26	6	46	36	16		21-04-2018 00:16:38
